UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature_difference [K],Power [W],Wear_Torque_Interaction,Air temperature [K]_rolling_mean_3,Air temperature [K]_rolling_std_3,Process temperature [K]_rolling_mean_3,Process temperature [K]_rolling_std_3,Rotational speed [rpm]_rolling_mean_3,Rotational speed [rpm]_rolling_std_3,Torque [Nm]_rolling_mean_3,Torque [Nm]_rolling_std_3,Air temperature [K]_rolling_mean_5,Air temperature [K]_rolling_std_5,Process temperature [K]_rolling_mean_5,Process temperature [K]_rolling_std_5,Rotational speed [rpm]_rolling_mean_5,Rotational speed [rpm]_rolling_std_5,Torque [Nm]_rolling_mean_5,Torque [Nm]_rolling_std_5,Type_Ordinal
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,5082.7513383163905,1995.5,298.8666666666666,0.05773502691983719,309.3,0.0,1468.6666666666667,104.26089071810875,39.4,7.607233399863573,298.86,0.05477225575117979,309.28000000000003,0.04472135955203418,1468.8,136.81995468498008,41.04,9.719979423846528,2
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,4731.3013681593,1747.6,298.90000000000003,0.10000000000055091,309.3333333333333,0.05773502691991515,1596.3333333333333,154.57145057653247,33.73333333333333,9.904712683027853,298.9,0.07071067811923416,309.32,0.044721359552259796,1559.2,150.95595384084726,35.28,8.157327993896045,1
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,6097.339157768726,2611.0,298.9666666666667,0.05773502692007102,309.3666666666666,0.05773502691993567,1633.3333333333333,108.4266264961399,31.23333333333333,5.818361739642237,298.91999999999996,0.08366600265391287,309.34000000000003,0.05477225575246984,1545.0,145.64168359367454,36.239999999999995,8.029819425117855,2
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,4540.784717670103,1700.9,299.0,0.0,309.43333333333334,0.05773502692003413,1726.6666666666667,152.43468546670545,28.766666666666666,7.486877408728716,298.93999999999994,0.08944271910047556,309.38,0.0836660026548347,1642.2,164.74434739923552,32.36,8.779977220927181,1
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,6175.114519896098,2925.0,299.0333333333333,0.0577350269202105,309.46666666666664,0.05773502692006284,1644.6666666666667,188.94531836839312,33.199999999999996,8.615683373940774,299.0,0.07071067811935174,309.41999999999996,0.08366600265498586,1654.6,148.15971112282853,31.2,6.909413868049897,1
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,4665.327922433915,1894.2,299.06666666666666,0.05773502692030896,309.4666666666667,0.05773502692006284,1728.0,188.72466717416694,28.96666666666667,8.713399642695865,299.04,0.05477225575146325,309.43999999999994,0.05477225575306269,1700.6,155.13639160429122,29.98,7.530405035587413,3
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,6660.574360679817,3624.4,299.1,0.0,309.43333333333334,0.05773502692003413,1587.3333333333333,197.109952395442,35.93333333333334,10.153488727197814,299.06000000000006,0.0547722557514866,309.44,0.05477225575306269,1636.8,187.78764602603653,33.68,9.250243240045105,1
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,5336.445417069278,2528.4,299.06666666666666,0.05773502692030896,309.4,0.0,1647.6666666666667,190.0982202266329,32.96666666666667,10.10956642657502,299.06000000000006,0.0547722557514866,309.43999999999994,0.05477225575306269,1663.2,183.70138812758057,32.239999999999995,9.105108456245878,1
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,6758.592051471818,4145.2,299.06666666666666,0.05773502692030896,309.43333333333334,0.05773502692007515,1490.3333333333333,182.49748856719486,40.83333333333334,9.508066750572045,299.08000000000004,0.04472135955121842,309.43999999999994,0.05477225575306269,1558.8,191.3562123370966,37.220000000000006,9.777627524098062,2
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,4801.296052481281,2269.5,299.03333333333336,0.0577350269202105,309.43333333333334,0.05773502692007515,1610.0,240.49324314832648,34.6,12.000416659433107,299.06,0.0547722557514866,309.41999999999996,0.04472135955294774,1616.0,215.13716554793595,34.52,10.95613983116317,1
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,7177.251160464705,4395.3,299.03333333333336,0.0577350269202105,309.43333333333334,0.05773502692007515,1518.6666666666667,245.19448063391116,40.666666666666664,13.134813791346017,299.04,0.05477225575146325,309.41999999999996,0.04472135955294774,1537.6,196.96903309911434,39.260000000000005,10.715549449281632,1
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,5666.647748912589,3022.5,298.96666666666664,0.05773502692007102,309.3666666666666,0.05773502691989465,1627.3333333333333,192.28711171925545,35.43333333333334,11.67961186569712,299.0,0.07071067811938038,309.4,0.07071067812040727,1582.8,194.60267212964987,36.92,10.644341219634025,1
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,5665.056008634771,3296.5000000000005,298.9,0.10000000000055091,309.2666666666667,0.15275252316544805,1547.6666666666667,123.39097751996866,38.5,8.558037158133862,298.96,0.11401754251035484,309.34000000000003,0.15165750888168958,1556.0,184.60227517557848,37.839999999999996,10.091977011468067,2
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,7389.7799034800555,4762.8,298.8333333333333,0.057735026919792064,309.20000000000005,0.10000000000034723,1558.6666666666667,106.50039123558848,38.6,8.729833904490965,298.9,0.10000000000046905,309.28000000000003,0.13038404810464288,1578.6,156.11310002687154,37.92,10.195685361955809,2
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,6076.122935381484,3706.7000000000003,298.8333333333333,0.057735026919792064,309.1666666666667,0.05773502691948442,1530.6666666666667,69.00966115938705,40.00000000000001,7.514652353901683,298.88,0.08366600265396257,309.23999999999995,0.114017542510457,1535.2,99.92096877032363,40.160000000000004,7.71284642657948,2
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,5907.115722593864,4076.8,298.8333333333333,0.057735026919792064,309.1666666666667,0.05773502691948442,1490.6666666666667,78.5005307837687,41.50000000000001,6.274551776820418,298.84000000000003,0.05477225575137244,309.18,0.08366600265385804,1539.2,94.35147057677473,38.339999999999996,6.246038744676497,1
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,7321.51309511755,5374.200000000001,298.8666666666667,0.057735026919841295,309.1666666666667,0.05773502691948442,1466.3333333333333,103.73684655576055,42.2,7.466592261534062,298.84,0.05477225575137244,309.15999999999997,0.05477225575104026,1482.0,85.27602242131131,41.980000000000004,7.2192104831484025,3
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,7422.0126441058865,5827.5,298.8333333333333,0.057735026919792064,309.1333333333334,0.05773502691940647,1389.3333333333333,45.39089482851602,47.46666666666667,7.215492591177282,298.84000000000003,0.05477225575137244,309.15999999999997,0.05477225575104026,1440.2,89.22835872075643,45.540000000000006,7.119901684714447,1
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,6475.3251138731375,5130.2,298.8333333333333,0.057735026919792064,309.1333333333334,0.05773502691940647,1363.6666666666667,14.571661996265195,49.53333333333334,3.6909799963335597,298.84000000000003,0.05477225575137244,309.14,0.054772255750901444,1422.2,95.13516699938037,44.9,6.917008023705022,1
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,7277.436550187684,5842.0,298.8,0.0,309.1,0.0,1360.0,9.16515138991533,49.56666666666666,3.7072002014100183,298.82,0.04472135955107146,309.12,0.0447213595503103,1379.6,34.818098741889905,47.72,5.458662839926966,1
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,7033.900287681404,5744.7,298.8,0.0,309.1,0.0,1366.0,3.4641016151474116,48.43333333333334,2.7610384519840308,298.82,0.04472135955107146,309.12,0.0447213595503103,1365.4,10.573551910308726,49.7,2.687936011143019,2
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,6968.261945172401,5820.0,298.8,0.0,309.1333333333333,0.05773502691940647,1369.3333333333333,2.309401076773021,49.46666666666667,1.1930353445453592,298.8,0.0,309.12,0.0447213595503103,1364.0,8.602325267042263,49.26,2.663268668384671,3
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,7322.005277966611,5937.5,298.8,0.0,309.1333333333333,0.05773502691940647,1404.0,58.923679450625514,48.366666666666674,0.8082903768661155,298.8,0.0,309.12,0.0447213595503103,1388.4,46.870033070182394,48.26,1.9982492337042175,2
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,7656.050824822814,6284.8,298.8,0.0,309.1333333333333,0.05773502691940647,1444.3333333333333,63.21655901212437,48.366666666666674,0.8082903768661155,298.8,0.0,309.12,0.0447213595503103,1413.8,61.20620883537872,49.0,1.1999999999997781,1
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,4979.36152408675,3354.0,298.7666666666667,0.05773502691973463,309.06666666666666,0.05773502691930801,1601.3333333333333,209.46200928410246,40.800000000000004,13.014991356124687,298.78000000000003,0.04472135955114137,309.1,0.07071067811876182,1508.8,194.91972706732378,44.0,10.195096860746329,2
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,6875.207970773071,6157.9,298.76666666666665,0.05773502691973463,309.06666666666666,0.05773502691930801,1583.3333333333333,227.6627622896055,40.4,12.721242077721824,298.78,0.04472135955114137,309.1,0.07071067811876182,1518.8,187.0125664226872,43.44,9.918064327276753,1
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,8043.262591353267,7276.5,298.7666666666667,0.05773502691973463,309.09999999999997,0.10000000000023118,1562.0,243.37830634631362,42.0,14.535129858381051,298.78000000000003,0.04472135955114137,309.1,0.07071067811876182,1529.4,177.89125891959955,44.519999999999996,10.85642666810768,3
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,6520.815375497118,6174.0,298.8333333333333,0.05773502691975104,309.1666666666667,0.057735026919517235,1418.3333333333333,6.506407098654393,48.1,5.141984052873065,298.8,0.0707106781193633,309.12,0.08366600265357482,1517.4,184.62746274593064,43.839999999999996,10.728839639028987,2
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,1378.1748092277942,657.8,298.8666666666667,0.05773502691977156,309.1666666666667,0.057735026919517235,1899.3333333333333,832.8531283085473,34.2,26.09846738795211,298.82,0.08366600265399994,309.12,0.08366600265357482,1791.8,625.3652532720379,34.94,19.852531324745463,1
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,7951.025431043872,7960.5,298.9,0.0,309.1333333333333,0.05773502691943929,1885.3333333333333,845.07652513446,34.53333333333334,26.479488917525074,298.86,0.054772255751402286,309.14,0.05477225575089561,1699.8,649.3271132487846,40.760000000000005,20.748445724921172,1
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,6866.327735538924,6438.599999999999,298.8666666666666,0.05773502691973054,309.06666666666666,0.057735026919340834,1913.6666666666667,822.39244484208,34.43333333333334,26.425808092342855,298.86,0.054772255751402286,309.12,0.08366600265357482,1715.6,641.6718787667105,40.26,20.611234800467432,3
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,5752.413228355591,5335.2,298.8,0.10000000000035433,309.03333333333336,0.05773502691927109,1481.6666666666667,91.96376097862505,44.6,9.924212815130508,298.84000000000003,0.08944271910053354,309.08000000000004,0.08366600265342365,1743.6,628.7454174783304,36.5,19.164941951386126,1
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,5330.141287811075,4635.400000000001,298.73333333333335,0.05773502691945158,309.0,0.0,1584.3333333333333,98.43441132720649,36.333333333333336,6.932772413207683,298.8,0.10000000000048893,309.0400000000001,0.054772255750341683,1799.4,603.8466692795448,33.7,18.796143221416457,1
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,6444.286178455672,6349.200000000001,298.73333333333335,0.05773502691945158,309.03333333333336,0.05773502691927109,1589.3333333333333,91.94744875924333,35.300000000000004,5.302829433425154,298.78,0.08366600265400545,309.04,0.054772255750341683,1529.6,111.99017814076375,40.92,9.417112083860943,1
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,6558.053720417668,6699.2,298.76666666666665,0.05773502691952132,309.06666666666666,0.05773502691936955,1560.0,114.79111463872256,37.73333333333334,6.6650831452678485,298.76,0.054772255751461295,309.03999999999996,0.054772255750341683,1548.4,86.13245613588414,38.42,5.705874166155422,1
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,6385.171876690622,6448.0,298.8,0.0,309.1,0.0,1500.6666666666667,20.50203241958412,41.13333333333333,1.1150485789120133,298.76000000000005,0.054772255751461295,309.06,0.05477225575044546,1551.6,84.01666501355552,37.72,5.058853625081463,1
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,5131.21564098577,4779.0,298.8,0.0,309.06666666666666,0.05773502691936955,1550.3333333333333,97.51581068387672,37.400000000000006,6.921704992268899,298.78000000000003,0.044721359551113546,309.06000000000006,0.05477225575044546,1570.8,97.69953940526027,36.6,6.260990336999401,2
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,7850.127946986078,8976.0,298.8,0.0,309.06666666666666,0.05773502691936955,1517.3333333333333,141.54975568093957,41.4,12.486392593539591,298.8,0.0,309.08000000000004,0.0447213595500418,1508.2,101.62529212750142,41.459999999999994,8.850028248542474,1
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,7673.004953176687,8784.2,298.8,0.0,309.06666666666666,0.05773502691936955,1477.3333333333333,159.23672105809538,45.5,13.88560405599989,298.8,0.0,309.08000000000004,0.0447213595500418,1484.4,113.72686577937513,43.839999999999996,10.105592511080177,1
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,6368.469075749038,6455.8,298.8,0.0,309.06666666666666,0.05773502691936955,1454.3333333333333,119.45850046494672,48.400000000000006,8.879189152169282,298.8,0.0,309.06000000000006,0.05477225575044546,1507.4,123.09874085464888,43.0,10.42473021233642,2
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,4386.092695407341,3938.7999999999997,298.8,0.0,309.03333333333336,0.05773502691927109,1604.6666666666667,218.2758193967753,37.900000000000006,14.852272553383882,298.8,0.0,309.04,0.054772255750341683,1570.6,189.76116567938766,39.52,13.882254860072255,1
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,4914.581883569728,4506.599999999999,298.8333333333333,0.057735026919578755,309.0,0.0,1744.3333333333333,132.1980836976605,29.000000000000004,8.107404023483705,298.82,0.044721359550957844,309.04,0.054772255750341683,1600.8,217.70323837738383,38.8,14.606334242375794,2
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,6156.244020023535,6832.2,298.90000000000003,0.10000000000038038,309.03333333333336,0.05773502691927109,1721.3333333333333,171.97189692892746,29.133333333333336,8.334466589610464,298.86,0.08944271910037427,309.03999999999996,0.054772255750341683,1629.8,188.2729401693191,35.64,11.833553988553044,1
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,6583.668172519939,8072.900000000001,298.9666666666667,0.057735026919693615,309.06666666666666,0.05773502691936955,1576.3333333333333,214.0428306048433,36.53333333333334,9.765415164412289,298.9,0.10000000000024949,309.04,0.054772255750341683,1630.0,187.95877207515485,34.14,9.363920119266268,1
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,5046.162255877582,5194.7,298.96666666666664,0.057735026919693615,309.03333333333336,0.11547005383807858,1532.0,142.71299870719656,37.466666666666676,8.25853094280899,298.91999999999996,0.0836660026536513,309.02,0.08366600265323001,1647.4,187.58811262977196,32.239999999999995,9.29774166128526,2
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,6770.195000339076,8114.400000000001,298.9,0.10000000000038038,308.96666666666664,0.11547005383795142,1513.0,148.19919028118974,39.300000000000004,9.193475947648981,298.91999999999996,0.0836660026536513,309.0,0.0999999999997993,1574.8,169.06418899341165,36.480000000000004,8.793861495384132,3
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,5180.988940594142,6123.599999999999,298.8333333333333,0.057735026919578755,308.9,0.0,1557.3333333333333,109.69199302288939,35.06666666666667,8.038863933002812,298.9,0.10000000000024949,308.98,0.10954451150080487,1517.8,105.008094926058,37.78,7.169170105388742,1
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,9700.923955019922,12548.7,298.8333333333333,0.057735026919578755,308.93333333333334,0.05773502691886087,1467.6666666666667,58.51780355869155,47.4,16.89348987036133,298.88,0.08366600265376341,308.96000000000004,0.08944271909964377,1495.2,115.26794871081904,43.2,14.470314440260088,1
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,4553.4662800150945,4361.8,298.8666666666666,0.057735026919599274,308.96666666666664,0.05773502691898804,1620.3333333333333,269.4110861366578,40.23333333333334,22.592550394617554,298.86,0.054772255751133085,308.93999999999994,0.054772255749822134,1601.2,206.51561684289157,38.7,17.007792331751926,2
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,6918.415341735443,8918.0,298.9,0.0,309.03333333333336,0.05773502691924238,1595.3333333333333,285.4073112821983,44.6,21.564090521049124,298.86,0.05477225575113309,308.97999999999996,0.0836660026531243,1555.8,210.05761114513325,42.06,16.177546167450725,1
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,6365.243707291352,8791.199999999999,298.9,0.0,309.06666666666666,0.057735026919369554,1581.6666666666667,299.3598726171122,37.50000000000001,12.915494570476202,298.88,0.0447213595506798,309.02,0.08366600265328225,1536.4,224.4132349038265,42.12,16.18755694970676,1
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,5834.984755267443,7000.0,298.93333333333334,0.05773502691973875,309.1,0.0,1471.0,112.70758625753791,41.63333333333333,5.770904030854595,298.91999999999996,0.0447213595505527,309.06,0.05477225575052525,1549.4,225.61205641543185,42.64,15.835182348176467,1
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,5415.299392674381,6524.599999999999,298.93333333333334,0.05773502691973875,309.06666666666666,0.057735026919369554,1520.6666666666667,131.4242494113384,37.233333333333334,6.351640208114247,298.91999999999996,0.0447213595505527,309.06000000000006,0.05477225575052525,1587.6,211.85915132464777,35.96,9.42141178380393,1
